αγγούρι | λαχανικό
αγρότης | επάγγελμα
αεροπλάνο | όχημα
αεροσυνοδός | επάγγελμα
αετός | ζώο
ακορντεόν | μουσικό όργανο
ακτινίδιο | φρούτο
αλεύρι | τρόφιμο
άλογο | ζώο
αμπέλι | δέντρο
ανανάς | φρούτο
αναρρίχηση | άθλημα
άνεμος | καιρός
ανεμώνη | ζώο
απρίλιος | μήνας
αρακάς | λαχανικό
αρκούδα | ζώο
άρπα | μουσικό όργανο
αρχιτέκτονας | επάγγελμα
άσπρο | χρώμα
αστραπή | καιρός
αστυνομικός | επάγγελμα
αυγά | τρόφιμο
αύγουστος | μήνας
αυστρία | χώρα
αυτοκίνητο | όχημα
αχινός | ζώο
αχλάδι | φρούτο
βάτραχος | ζώο
βέλγιο | χώρα
βιβλίο | σχολικό αντικείμενο
βιβλιοθήκη | κτίριο
βιβλιοθηκονόμος | επάγγελμα
βιολί | μουσικό όργανο
βόλεϊ | άθλημα
βροχή | καιρός
γάλα | τρόφιμο
γαλάζιο | χρώμα
γαλλία | χώρα
γαρίδα | ζώο
γάτα | ζώο
γερμανία | χώρα
γιαούρτι | τρόφιμο
γιατρός | επάγγελμα
γκολφ | άθλημα
γκρι | χρώμα
γλυκοπατάτα | λαχανικό
γόμα | σχολικό αντικείμενο
γραμματέας | επάγγελμα
γυμναστήριο | κτίριο
γύπας | ζώο
δαμασκηνιά | δέντρο
δάσκαλος | επάγγελμα
δεκέμβριος | μήνας
δελφίνι | ζώο
δημητριακά | τρόφιμο
δημοσιογράφος | επάγγελμα
διακοσμητής | επάγγελμα
διατροφολόγος | επάγγελμα
δικηγόρος | επάγγελμα
δροσιά | καιρός
δρυς | δέντρο
εκκλησία | κτίριο
ελαιόλαδο | τρόφιμο
ελάφι | ζώο
ελβετία | χώρα
ελέφαντας | ζώο
ελιά | δέντρο
ελικόπτερο | όχημα
ελλάδα| χώρα
εστιατόριο | κτίριο
ζάχαρη | τρόφιμο
ζέβρα | ζώο
ζέστη | καιρός
ζωγράφος | επάγγελμα
ηθοποιός | επάγγελμα
ηλεκτρολόγος | επάγγελμα
ήλιος | καιρός
θέατρο | κτίριο
θύελλα | καιρός
ιανουάριος | μήνας
ιούλιος | μήνας
ούνιος | μήνας
ιππασία | άθλημα
ιππόκαμπος | ζώο
ιπποπόταμος | ζώο
ισλανδία | χώρα
ισπανία | χώρα
ιταλία | χώρα
καβούρι | ζώο
καθαριστής | επάγγελμα
καλαμάρι | ζώο
καλλιτέχνης | επάγγελμα
καμήλα | ζώο
καράτε | άθλημα
καρότο | λαχανικό
καρπούζι | φρούτο
καρυδιά | δέντρο
καρχαρίας | ζώο
κασετίνα | σχολικό αντικείμενο
καστανιά | δέντρο
καταιγίδα | καιρός
κατάστημα | κτίριο
καύσωνας | καιρός
καφετέρια | κτίριο
κεράσι | φρούτο
κερασιά | δέντρο
κεραυνός | καιρός
κιθάρα | μουσικό όργανο
κίτρινο | χρώμα
κλαρίνο | μουσικό όργανο
κόκκινο | χρώμα
κόλλα | σχολικό αντικείμενο
κολοκύθα | λαχανικό
κολοκυθάκι | λαχανικό
κολύμβηση | άθλημα
κομμωτής | επάγγελμα
κοντραμπάσο | μουσικό όργανο
κουκουβάγια | ζώο
κουνέλι | ζώο
κουνουπίδι | λαχανικό
κρέας | τρόφιμο
κρεμμύδι | λαχανικό
κρίκετ | άθλημα
κροατία | χώρα
κροκόδειλος | ζώο
κρύο | καιρός
κυκλώνας | καιρός
λαχανί | χρώμα
λάχανο | λαχανικό
λεμονιά | δέντρο
λεωφορείο | όχημα
λιακάδα | καιρός
λιοντάρι| ζώο
λύκος | ζώο
μάγειρας | επάγγελμα
μάιος | μήνας
μακαρόνια | τρόφιμο
μάνγκο | φρούτο
μανιτάρι | λαχανικό
μανταρίνι | φρούτο
μαντολίνο | μουσικό όργανο
μαρκαδόρος | σχολικό αντικείμενο
μαρμελάδα | τρόφιμο
μαρούλι | λαχανικό
μάρτιος | μήνας
μαύρο | χρώμα
μέδουσα | ζώο
μεταφραστής | επάγγελμα
μηλιά | δέντρο
μήλο | φρούτο
μηχανικός | επάγγελμα
μολύβι | σχολικό αντικείμενο
μοτοσυκλέτα | όχημα
μουντός | καιρός
μουριά | δέντρο
μουσείο | κτίριο
μουσικός | επάγγελμα
μουσμουλιά | δέντρο
μπάμιες | λαχανικό
μπανάνα | φρούτο
μπαρμπούνι | ζώο
μπάσκετ | άθλημα
μπάσο | μουσικό όργανο
μπεζ | χρώμα
μπέιζμπολ | άθλημα
μπλε | χρώμα
μπουζούκι | μουσικό όργανο
μπρόκολο | λαχανικό
μύδι | ζώο
μοβ | χρώμα
ναυτικός | επάγγελμα
νεκταρίνι | φρούτο
νέφος | καιρός
νοέμβριος | μήνας
νοσοκομείο | κτίριο
νταλίκα | όχημα
ντομάτα | λαχανικό
ξενοδοχείο | κτίριο
ξιφασκία | άθλημα
ξυλοκομπογιά | σχολικό αντικείμενο
ξυλόφωνο | μουσικό όργανο
ξύστρα | σχολικό αντικείμενο
οκτώβριος | μήνας
ομίχλη | καιρός
όσπρια | τρόφιμο
όστρακο | ζώο
παγετός | καιρός
παγκράτιο | άθλημα
παγώνι | ζώο
παιδικός σταθμός | κτίριο
πάλη | άθλημα
παντζάρι | λαχανικό
πάρκο | κτίριο
πατάτα | λαχανικό
πατίνι | όχημα
πεπόνι | φρούτο
πεύκο | δέντρο
πιάνο | μουσικό όργανο
πίθηκος | ζώο
χιονοβροχή | καιρός
πιπεριά | λαχανικό
πλάτανος | δέντρο
πλατεία | κτίριο
πλοίο | όχημα
ποδηλασία | άθλημα
ποδήλατο | όχημα
ποδόσφαιρο | άθλημα
πόλο | άθλημα
πολυκατοικία | κτίριο
πορτογαλικό | χώρα
πορτοκάλι | φρούτο
πορτοκαλί | χρώμα
πορτοκαλιά | δέντρο
πουλί | ζώο
